"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","academy_eligibility","pupil_count","disadvantaged_pupil_percent","not_disadvantaged_pupil_percent","ks2_scaledscore_average","eal_pupil_percent","sen_pupil_percent","urns","school_count","converter_school_count","sponsored_school_count","free_school_count","studio_school_count","utc_school_count","disadvantaged_school_count","years3_school_count","years4_school_count","years5plus_school_count","progress8_banding"
"202425","Academic year","MAT","E92000001","England","TR01762","Sfaet Ltd","16518","7689980","10058976","London","Revised","Multi-academy trust","Included in MAT performance tables","464","20","80","z","17","19","137396;143877;146309","3","2","1","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01762","Sfaet Ltd","16518","7689980","10058976","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","464","20","80","z","17","19","137396;143877;146309","3","2","1","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01764","Central Region Schools Trust","4335","8166526","10059997","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","761","40","60","z","25","19","135599;137034;138505;138664","4","2","2","0","0","0","4","2","0","2","z"
"202425","Academic year","MAT","E92000001","England","TR01764","Central Region Schools Trust","4335","8166526","10059997","West Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","761","40","60","z","25","19","135599;137034;138505;138664","4","2","2","0","0","0","4","2","0","2","z"
"202425","Academic year","MAT","E92000001","England","TR01767","Redhill Academy Trust","4338","7430317","10058403","East Midlands","Revised","Multi-academy trust","Included in MAT performance tables","1773","29","71","z","7","12","136361;136548;137085;137112;138836;140992;141363;144182;144487;146099","10","3","7","0","0","0","10","0","0","10","z"
"202425","Academic year","MAT","E92000001","England","TR01767","Redhill Academy Trust","4338","7430317","10058403","East Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1773","29","71","z","7","12","136361;136548;137085;137112;138836;140992;141363;144182;144487;146099","10","3","7","0","0","0","10","0","0","10","z"
"202425","Academic year","MAT","E92000001","England","TR01774","Synergy Multi Academy Trust","16163","8198980","10060057","East of England","Revised","Multi-academy trust","Included in MAT performance tables","479","22","78","z","4","18","137621;138829;141395;146237","4","3","1","0","0","0","4","0","2","2","z"
"202425","Academic year","MAT","E92000001","England","TR01774","Synergy Multi Academy Trust","16163","8198980","10060057","East of England","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","479","22","78","z","4","18","137621;138829;141395;146237","4","3","1","0","0","0","4","0","2","2","z"
"202425","Academic year","MAT","E92000001","England","TR01795","The Bay Learning Trust","16599","7588464","10058677","North West","Revised","Multi-academy trust","Included in MAT performance tables","638","25","75","z","10","18","136731;145082;147115;147260","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01795","The Bay Learning Trust","16599","7588464","10058677","North West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","792","26","74","z","8","18","136731;145082;147115;147260;150092","5","4","1","0","0","0","5","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01807","The Rodillian Multi Academy Trust","4386","7990619","10059698","Yorkshire and the Humber","Revised","Multi-academy trust","Included in MAT performance tables","762","21","79","z","4","20","138111;138336;138593;143138","4","1","3","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01807","The Rodillian Multi Academy Trust","4386","7990619","10059698","Yorkshire and the Humber","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","893","23","77","z","6","19","138111;138336;138593;142604;143138","5","1","3","0","0","1","5","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01817","The Rosedale Hewens Academy Trust","4397","7683702","10058942","London","Revised","Multi-academy trust","Included in MAT performance tables","273","37","63","z","74","10","137077;137078;138368;141035","4","2","0","0","2","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01817","The Rosedale Hewens Academy Trust","4397","7683702","10058942","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","273","37","63","z","74","10","137077;137078;138368;141035","4","2","0","0","2","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01818","The Roseland Multi Academy Trust","16049","7557817","10058608","South West","Revised","Multi-academy trust","Included in MAT performance tables","427","21","79","z","2","14","136572;137223;145843","3","2","1","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01818","The Roseland Multi Academy Trust","16049","7557817","10058608","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","427","21","79","z","2","14","136572;137223;145843","3","2","1","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01824","The Rowan Learning Trust","4405","8010464","10059724","North West","Revised","Multi-academy trust","Included in MAT performance tables","516","45","55","z","11","16","138110;140001;147883","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01824","The Rowan Learning Trust","4405","8010464","10059724","North West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","516","45","55","z","11","16","138110;140001;147883","3","1","2","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01828","Ascend Learning Trust","16676","7569743","10058663","South West","Revised","Multi-academy trust","Included in MAT performance tables","772","22","78","z","15","19","135804;136911;137650;144773","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01828","Ascend Learning Trust","16676","7569743","10058663","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","772","22","78","z","15","19","135804;136911;137650;144773","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01843","Bishop Bewick Catholic Education Trust","16761","7841435","10059424","North East","Revised","Multi-academy trust","Included in MAT performance tables","1091","27","73","z","17","17","137708;137734;137900;140081;141814","5","5","0","0","0","0","5","0","2","3","z"
"202425","Academic year","MAT","E92000001","England","TR01843","Bishop Bewick Catholic Education Trust","16761","7841435","10059424","North East","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","1091","27","73","z","17","17","137708;137734;137900;140081;141814","5","5","0","0","0","0","5","0","2","3","z"
"202425","Academic year","MAT","E92000001","England","TR01848","Saffron Academy Trust","4437","7618351","10058708","East of England","Revised","Multi-academy trust","Included in MAT performance tables","862","15","85","z","6","21","136729;136776;137975;139402","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01848","Saffron Academy Trust","4437","7618351","10058708","East of England","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","862","15","85","z","6","21","136729;136776;137975;139402","4","3","1","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01853","St Ralph Sherwin Catholic Multi Academy Trust","4442","7937154","10059560","East Midlands","Revised","Multi-academy trust","Included in MAT performance tables","682","23","77","z","18","17","137908;138622;142042;146128;146235","5","4","1","0","0","0","5","0","0","5","z"
"202425","Academic year","MAT","E92000001","England","TR01853","St Ralph Sherwin Catholic Multi Academy Trust","4442","7937154","10059560","East Midlands","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","682","23","77","z","18","17","137908;138622;142042;146128;146235","5","4","1","0","0","0","5","0","0","5","z"
"202425","Academic year","MAT","E92000001","England","TR01858","South East Cornwall Multi Academy Regional Trust","4449","7542166","10058550","South West","Revised","Multi-academy trust","Included in MAT performance tables","505","24","76","z","2","12","136575;137839;144291","3","3","0","0","0","0","3","0","0","3","z"
